Team,League,Year,G,W,L,Playoffs,RankSeason,RankPlayoffs,RS,RA,BA,OBP,SLG,OPS,OOBP,OSLG
SFG,NL,1992,162,72,90,FALSE,,,574,647,0.244,0.302,0.355,0.657,,
STL,NL,1992,162,83,79,FALSE,,,631,604,0.262,0.323,0.375,0.698,,
TEX,AL,1992,162,77,85,FALSE,,,682,753,0.25,0.321,0.393,0.714,,
TOR,AL,1992,162,96,66,TRUE,2,1,780,682,0.263,0.333,0.414,0.747,,
ATL,NL,1991,162,94,68,TRUE,3,2,749,644,0.258,0.328,0.393,0.721,,
BAL,AL,1991,162,67,95,FALSE,,,686,796,0.254,0.319,0.401,0.72,,
BOS,AL,1991,162,84,78,FALSE,,,731,712,0.269,0.34,0.401,0.741,,
CAL,AL,1991,162,81,81,FALSE,,,653,649,0.255,0.314,0.374,0.688,,
CHC,NL,1991,160,77,83,FALSE,,,695,734,0.253,0.309,0.39,0.699,,
CHW,AL,1991,162,87,75,FALSE,,,758,681,0.262,0.336,0.391,0.727,,
CIN,NL,1991,162,74,88,FALSE,,,689,691,0.258,0.32,0.403,0.723,,
CLE,AL,1991,162,57,105,FALSE,,,576,759,0.254,0.313,0.35,0.663,,
DET,AL,1991,162,84,78,FALSE,,,817,794,0.247,0.333,0.416,0.749,,
HOU,NL,1991,162,65,97,FALSE,,,605,717,0.244,0.309,0.347,0.656,,
KCR,AL,1991,162,82,80,FALSE,,,727,722,0.264,0.328,0.394,0.722,,
LAD,NL,1991,162,93,69,FALSE,,,665,565,0.253,0.326,0.359,0.685,,
MIL,AL,1991,162,83,79,FALSE,,,799,744,0.271,0.336,0.396,0.732,,
MIN,AL,1991,162,95,67,TRUE,2,1,776,652,0.28,0.344,0.42,0.764,,
MON,NL,1991,161,71,90,FALSE,,,579,655,0.246,0.308,0.357,0.665,,
NYM,NL,1991,161,77,84,FALSE,,,640,646,0.244,0.317,0.365,0.682,,
NYY,AL,1991,162,71,91,FALSE,,,674,777,0.256,0.316,0.387,0.703,,
OAK,AL,1991,162,84,78,FALSE,,,760,776,0.248,0.331,0.389,0.72,,
PHI,NL,1991,162,78,84,FALSE,,,629,680,0.241,0.303,0.358,0.661,,
PIT,NL,1991,162,98,64,TRUE,1,3,768,632,0.263,0.338,0.398,0.736,,
SDP,NL,1991,162,84,78,FALSE,,,636,646,0.244,0.31,0.362,0.672,,
SEA,AL,1991,162,83,79,FALSE,,,702,674,0.255,0.328,0.383,0.711,,
SFG,NL,1991,162,75,87,FALSE,,,649,697,0.246,0.309,0.381,0.69,,
STL,NL,1991,162,84,78,FALSE,,,651,648,0.255,0.322,0.357,0.679,,
TEX,AL,1991,162,85,77,FALSE,,,829,814,0.27,0.341,0.424,0.765,,
TOR,AL,1991,162,91,71,TRUE,4,3,684,622,0.257,0.322,0.4,0.722,,
ATL,NL,1990,162,65,97,FALSE,,,682,821,0.25,0.311,0.396,0.707,,
BAL,AL,1990,161,76,85,FALSE,,,669,698,0.245,0.33,0.37,0.7,,
BOS,AL,1990,162,88,74,TRUE,4,3,699,664,0.272,0.344,0.395,0.739,,
CAL,AL,1990,162,80,82,FALSE,,,690,706,0.26,0.329,0.391,0.72,,
CHC,NL,1990,162,77,85,FALSE,,,690,774,0.263,0.314,0.392,0.706,,
CHW,AL,1990,162,94,68,FALSE,,,682,633,0.258,0.32,0.379,0.699,,
CIN,NL,1990,162,91,71,TRUE,3,1,693,597,0.265,0.325,0.399,0.724,,
CLE,AL,1990,162,77,85,FALSE,,,732,737,0.267,0.324,0.391,0.715,,
DET,AL,1990,162,79,83,FALSE,,,750,754,0.259,0.337,0.409,0.746,,
HOU,NL,1990,162,75,87,FALSE,,,573,656,0.242,0.313,0.345,0.658,,
KCR,AL,1990,161,75,86,FALSE,,,707,709,0.267,0.328,0.395,0.723,,
LAD,NL,1990,162,86,76,FALSE,,,728,685,0.262,0.328,0.382,0.71,,
MIL,AL,1990,162,74,88,FALSE,,,732,760,0.256,0.32,0.384,0.704,,
MIN,AL,1990,162,74,88,FALSE,,,666,729,0.265,0.324,0.385,0.709,,
MON,NL,1990,162,85,77,FALSE,,,662,598,0.25,0.322,0.37,0.692,,
NYM,NL,1990,162,91,71,FALSE,,,775,613,0.256,0.323,0.408,0.731,,
NYY,AL,1990,162,67,95,FALSE,,,603,749,0.241,0.3,0.366,0.666,,
OAK,AL,1990,162,103,59,TRUE,1,2,733,570,0.254,0.336,0.391,0.727,,
PHI,NL,1990,162,77,85,FALSE,,,646,729,0.255,0.327,0.363,0.69,,
PIT,NL,1990,162,95,67,TRUE,2,3,733,619,0.259,0.33,0.405,0.735,,
SDP,NL,1990,162,75,87,FALSE,,,673,673,0.257,0.32,0.38,0.7,,
SEA,AL,1990,162,77,85,FALSE,,,640,680,0.259,0.333,0.373,0.706,,
SFG,NL,1990,162,85,77,FALSE,,,719,710,0.262,0.323,0.396,0.719,,
STL,NL,1990,162,70,92,FALSE,,,599,698,0.256,0.32,0.358,0.678,,
TEX,AL,1990,162,83,79,FALSE,,,676,696,0.259,0.331,0.376,0.707,,
TOR,AL,1990,162,86,76,FALSE,,,767,661,0.265,0.328,0.419,0.747,,
ATL,NL,1989,161,63,98,FALSE,,,584,680,0.234,0.298,0.35,0.648,,
BAL,AL,1989,162,87,75,FALSE,,,708,686,0.252,0.326,0.379,0.705,,
BOS,AL,1989,162,83,79,FALSE,,,774,735,0.277,0.351,0.403,0.754,,
CAL,AL,1989,162,91,71,FALSE,,,669,578,0.256,0.311,0.386,0.697,,
CHC,NL,1989,162,93,69,TRUE,2,3,702,623,0.261,0.319,0.387,0.706,,
CHW,AL,1989,161,69,92,FALSE,,,693,750,0.271,0.328,0.383,0.711,,
CIN,NL,1989,162,75,87,FALSE,,,632,691,0.247,0.309,0.37,0.679,,
CLE,AL,1989,162,73,89,FALSE,,,604,654,0.245,0.31,0.365,0.675,,
DET,AL,1989,162,59,103,FALSE,,,617,816,0.242,0.318,0.351,0.669,,
HOU,NL,1989,162,86,76,FALSE,,,647,669,0.239,0.306,0.345,0.651,,
KCR,AL,1989,162,92,70,FALSE,,,690,635,0.261,0.329,0.373,0.702,,
LAD,NL,1989,160,77,83,FALSE,,,554,536,0.24,0.306,0.339,0.645,,
MIL,AL,1989,162,81,81,FALSE,,,707,679,0.259,0.318,0.382,0.7,,
MIN,AL,1989,162,80,82,FALSE,,,740,738,0.276,0.334,0.402,0.736,,
MON,NL,1989,162,81,81,FALSE,,,632,630,0.247,0.319,0.361,0.68,,
NYM,NL,1989,162,87,75,FALSE,,,683,595,0.246,0.311,0.385,0.696,,
NYY,AL,1989,161,74,87,FALSE,,,698,792,0.269,0.331,0.391,0.722,,
OAK,AL,1989,162,99,63,TRUE,1,1,712,576,0.261,0.331,0.381,0.712,,
PHI,NL,1989,163,67,96,FALSE,,,629,735,0.243,0.314,0.364,0.678,,
PIT,NL,1989,164,74,90,FALSE,,,637,680,0.241,0.311,0.359,0.67,,
SDP,NL,1989,162,89,73,FALSE,,,642,626,0.251,0.319,0.369,0.688,,
SEA,AL,1989,162,73,89,FALSE,,,694,728,0.257,0.32,0.384,0.704,,
SFG,NL,1989,162,92,70,TRUE,3,2,699,600,0.25,0.316,0.39,0.706,,
STL,NL,1989,164,86,78,FALSE,,,632,608,0.258,0.321,0.363,0.684,,
TEX,AL,1989,162,83,79,FALSE,,,695,714,0.263,0.326,0.394,0.72,,
TOR,AL,1989,162,89,73,TRUE,4,3,731,651,0.26,0.323,0.398,0.721,,
ATL,NL,1988,160,54,106,FALSE,,,555,741,0.242,0.298,0.348,0.646,,
BAL,AL,1988,161,54,107,FALSE,,,550,789,0.238,0.305,0.359,0.664,,
BOS,AL,1988,162,89,73,TRUE,4,3,813,689,0.283,0.357,0.42,0.777,,
CAL,AL,1988,162,75,87,FALSE,,,714,771,0.261,0.321,0.385,0.706,,
CHC,NL,1988,163,77,86,FALSE,,,660,694,0.261,0.31,0.383,0.693,,
CHW,AL,1988,161,71,90,FALSE,,,631,757,0.244,0.303,0.37,0.673,,
CIN,NL,1988,161,87,74,FALSE,,,641,596,0.246,0.309,0.368,0.677,,
CLE,AL,1988,162,78,84,FALSE,,,666,731,0.261,0.314,0.387,0.701,,
DET,AL,1988,162,88,74,FALSE,,,703,658,0.25,0.324,0.378,0.702,,
HOU,NL,1988,162,82,80,FALSE,,,617,631,0.244,0.306,0.351,0.657,,
KCR,AL,1988,161,84,77,FALSE,,,704,648,0.259,0.321,0.391,0.712,,
LAD,NL,1988,162,94,68,TRUE,3,1,628,544,0.248,0.305,0.352,0.657,,
MIL,AL,1988,162,87,75,FALSE,,,682,616,0.257,0.314,0.375,0.689,,
MIN,AL,1988,162,91,71,FALSE,,,759,672,0.274,0.34,0.421,0.761,,
MON,NL,1988,163,81,82,FALSE,,,628,592,0.251,0.309,0.373,0.682,,
NYM,NL,1988,160,100,60,TRUE,2,3,703,532,0.256,0.325,0.396,0.721,,
NYY,AL,1988,161,85,76,FALSE,,,772,748,0.263,0.333,0.395,0.728,,
OAK,AL,1988,162,104,58,TRUE,1,2,800,620,0.263,0.336,0.399,0.735,,
PHI,NL,1988,162,65,97,FALSE,,,597,734,0.239,0.306,0.355,0.661,,
PIT,NL,1988,160,85,75,FALSE,,,651,616,0.247,0.317,0.369,0.686,,
SDP,NL,1988,161,83,78,FALSE,,,594,583,0.247,0.31,0.351,0.661,,
SEA,AL,1988,161,68,93,FALSE,,,664,744,0.257,0.317,0.398,0.715,,
SFG,NL,1988,162,83,79,FALSE,,,670,626,0.248,0.318,0.368,0.686,,
STL,NL,1988,162,76,86,FALSE,,,578,633,0.249,0.309,0.337,0.646,,
TEX,AL,1988,161,70,91,FALSE,,,637,735,0.252,0.32,0.368,0.688,,
TOR,AL,1988,162,87,75,FALSE,,,763,680,0.268,0.332,0.419,0.751,,
ATL,NL,1987,161,69,92,FALSE,,,747,829,0.258,0.339,0.403,0.742,,
BAL,AL,1987,162,67,95,FALSE,,,729,880,0.258,0.322,0.418,0.74,,
BOS,AL,1987,162,78,84,FALSE,,,842,825,0.278,0.352,0.43,0.782,,
CAL,AL,1987,162,75,87,FALSE,,,770,803,0.252,0.326,0.401,0.727,,
CHC,NL,1987,161,76,85,FALSE,,,720,801,0.264,0.326,0.432,0.758,,
CHW,AL,1987,162,77,85,FALSE,,,748,746,0.258,0.319,0.415,0.734,,
CIN,NL,1987,162,84,78,FALSE,,,783,752,0.266,0.33,0.427,0.757,,
CLE,AL,1987,162,61,101,FALSE,,,742,957,0.263,0.324,0.422,0.746,,
DET,AL,1987,162,98,64,TRUE,1,3,896,735,0.272,0.349,0.451,0.8,,
HOU,NL,1987,162,76,86,FALSE,,,648,678,0.253,0.318,0.373,0.691,,
KCR,AL,1987,162,83,79,FALSE,,,715,691,0.262,0.328,0.412,0.74,,
LAD,NL,1987,162,73,89,FALSE,,,635,675,0.252,0.309,0.371,0.68,,
MIL,AL,1987,162,91,71,FALSE,,,862,817,0.276,0.346,0.428,0.774,,
MIN,AL,1987,162,85,77,TRUE,4,1,786,806,0.261,0.328,0.43,0.758,,
MON,NL,1987,162,91,71,FALSE,,,741,720,0.265,0.328,0.401,0.729,,
NYM,NL,1987,162,92,70,FALSE,,,823,698,0.268,0.339,0.434,0.773,,
NYY,AL,1987,162,89,73,FALSE,,,788,758,0.262,0.336,0.418,0.754,,
OAK,AL,1987,162,81,81,FALSE,,,806,789,0.26,0.333,0.428,0.761,,
PHI,NL,1987,162,80,82,FALSE,,,702,749,0.254,0.327,0.41,0.737,,
PIT,NL,1987,162,80,82,FALSE,,,723,744,0.264,0.33,0.403,0.733,,
SDP,NL,1987,162,65,97,FALSE,,,668,763,0.26,0.332,0.378,0.71,,
SEA,AL,1987,162,78,84,FALSE,,,760,801,0.272,0.335,0.428,0.763,,
SFG,NL,1987,162,90,72,TRUE,3,3,783,669,0.26,0.324,0.43,0.754,,
STL,NL,1987,162,95,67,TRUE,2,2,798,693,0.263,0.34,0.378,0.718,,
TEX,AL,1987,162,75,87,FALSE,,,823,849,0.266,0.333,0.43,0.763,,
TOR,AL,1987,162,96,66,FALSE,,,845,655,0.269,0.336,0.446,0.782,,
ATL,NL,1986,161,72,89,FALSE,,,615,719,0.25,0.319,0.381,0.7,,
BAL,AL,1986,162,73,89,FALSE,,,708,760,0.258,0.327,0.395,0.722,,
BOS,AL,1986,161,95,66,TRUE,3,2,794,696,0.271,0.346,0.415,0.761,,
CAL,AL,1986,162,92,70,TRUE,4,3,786,684,0.255,0.338,0.404,0.742,,
CHC,NL,1986,160,70,90,FALSE,,,680,781,0.256,0.318,0.398,0.716,,
CHW,AL,1986,162,72,90,FALSE,,,644,699,0.247,0.31,0.363,0.673,,
CIN,NL,1986,162,86,76,FALSE,,,732,717,0.254,0.325,0.387,0.712,,
CLE,AL,1986,163,84,79,FALSE,,,831,841,0.284,0.337,0.43,0.767,,
DET,AL,1986,162,87,75,FALSE,,,798,714,0.263,0.338,0.424,0.762,,
HOU,NL,1986,162,96,66,TRUE,2,3,654,569,0.255,0.322,0.381,0.703,,
KCR,AL,1986,162,76,86,FALSE,,,654,673,0.252,0.313,0.39,0.703,,
LAD,NL,1986,162,73,89,FALSE,,,638,679,0.251,0.313,0.37,0.683,,
MIL,AL,1986,161,77,84,FALSE,,,667,734,0.255,0.321,0.385,0.706,,
MIN,AL,1986,162,71,91,FALSE,,,741,839,0.261,0.325,0.428,0.753,,
MON,NL,1986,161,78,83,FALSE,,,637,688,0.254,0.322,0.379,0.701,,
NYM,NL,1986,162,108,54,TRUE,1,1,783,578,0.263,0.339,0.401,0.74,,
NYY,AL,1986,162,90,72,FALSE,,,797,738,0.271,0.347,0.43,0.777,,
OAK,AL,1986,162,76,86,FALSE,,,731,760,0.252,0.322,0.39,0.712,,
PHI,NL,1986,161,86,75,FALSE,,,739,713,0.253,0.327,0.4,0.727,,
PIT,NL,1986,162,64,98,FALSE,,,663,700,0.25,0.321,0.374,0.695,,
SDP,NL,1986,162,74,88,FALSE,,,656,723,0.261,0.321,0.388,0.709,,
SEA,AL,1986,162,67,95,FALSE,,,718,835,0.253,0.326,0.399,0.725,,
SFG,NL,1986,162,83,79,FALSE,,,698,618,0.253,0.322,0.375,0.697,,
STL,NL,1986,161,79,82,FALSE,,,601,611,0.236,0.309,0.327,0.636,,
TEX,AL,1986,162,87,75,FALSE,,,771,743,0.267,0.331,0.428,0.759,,
TOR,AL,1986,163,86,77,FALSE,,,809,733,0.269,0.329,0.427,0.756,,
ATL,NL,1985,162,66,96,FALSE,,,632,781,0.246,0.315,0.363,0.678,,
BAL,AL,1985,161,83,78,FALSE,,,818,764,0.263,0.336,0.43,0.766,,
BOS,AL,1985,163,81,82,FALSE,,,800,720,0.282,0.347,0.429,0.776,,
CAL,AL,1985,162,90,72,FALSE,,,732,703,0.251,0.333,0.386,0.719,,
CHC,NL,1985,162,77,85,FALSE,,,686,729,0.254,0.324,0.39,0.714,,
CHW,AL,1985,163,85,78,FALSE,,,736,720,0.253,0.315,0.392,0.707,,
CIN,NL,1985,162,89,73,FALSE,,,677,666,0.255,0.327,0.376,0.703,,
CLE,AL,1985,162,60,102,FALSE,,,729,861,0.265,0.324,0.385,0.709,,
DET,AL,1985,161,84,77,FALSE,,,729,688,0.253,0.318,0.424,0.742,,
HOU,NL,1985,162,83,79,FALSE,,,706,691,0.261,0.319,0.388,0.707,,
KCR,AL,1985,162,91,71,TRUE,4,1,687,639,0.252,0.313,0.401,0.714,,
LAD,NL,1985,162,95,67,TRUE,3,3,682,579,0.261,0.328,0.382,0.71,,
MIL,AL,1985,161,71,90,FALSE,,,690,802,0.263,0.319,0.379,0.698,,
MIN,AL,1985,162,77,85,FALSE,,,705,782,0.264,0.326,0.407,0.733,,
MON,NL,1985,161,84,77,FALSE,,,633,636,0.247,0.31,0.375,0.685,,
NYM,NL,1985,162,98,64,FALSE,,,695,568,0.257,0.323,0.385,0.708,,
NYY,AL,1985,161,97,64,FALSE,,,839,660,0.267,0.344,0.425,0.769,,
OAK,AL,1985,162,77,85,FALSE,,,757,787,0.264,0.325,0.401,0.726,,
PHI,NL,1985,162,75,87,FALSE,,,667,673,0.245,0.312,0.383,0.695,,
PIT,NL,1985,161,57,104,FALSE,,,568,708,0.247,0.311,0.347,0.658,,
SDP,NL,1985,162,83,79,FALSE,,,650,622,0.255,0.32,0.368,0.688,,
SEA,AL,1985,162,74,88,FALSE,,,719,818,0.255,0.326,0.412,0.738,,
SFG,NL,1985,162,62,100,FALSE,,,556,674,0.233,0.299,0.348,0.647,,
STL,NL,1985,162,101,61,TRUE,1,2,747,572,0.264,0.335,0.379,0.714,,
TEX,AL,1985,161,62,99,FALSE,,,617,785,0.253,0.322,0.381,0.703,,
TOR,AL,1985,161,99,62,TRUE,2,3,759,588,0.269,0.331,0.425,0.756,,
ATL,NL,1984,162,80,82,FALSE,,,632,655,0.247,0.317,0.361,0.678,,
BAL,AL,1984,162,85,77,FALSE,,,681,667,0.252,0.328,0.391,0.719,,
BOS,AL,1984,162,86,76,FALSE,,,810,764,0.283,0.341,0.441,0.782,,
CAL,AL,1984,162,81,81,FALSE,,,696,697,0.249,0.319,0.381,0.7,,
CHC,NL,1984,161,96,65,TRUE,2,3,762,658,0.26,0.331,0.397,0.728,,
CHW,AL,1984,162,74,88,FALSE,,,679,736,0.247,0.314,0.395,0.709,,
CIN,NL,1984,162,70,92,FALSE,,,627,747,0.244,0.313,0.356,0.669,,
CLE,AL,1984,163,75,88,FALSE,,,761,766,0.265,0.335,0.384,0.719,,
DET,AL,1984,162,104,58,TRUE,1,1,829,643,0.271,0.342,0.432,0.774,,
HOU,NL,1984,162,80,82,FALSE,,,693,630,0.264,0.323,0.371,0.694,,
KCR,AL,1984,162,84,78,TRUE,4,3,673,686,0.268,0.317,0.399,0.716,,
LAD,NL,1984,162,79,83,FALSE,,,580,600,0.244,0.306,0.348,0.654,,
MIL,AL,1984,161,67,94,FALSE,,,641,734,0.262,0.317,0.37,0.687,,
MIN,AL,1984,162,81,81,FALSE,,,673,675,0.265,0.318,0.385,0.703,,
MON,NL,1984,161,78,83,FALSE,,,593,585,0.251,0.312,0.362,0.674,,
NYM,NL,1984,162,90,72,FALSE,,,652,676,0.257,0.32,0.369,0.689,,
NYY,AL,1984,162,87,75,FALSE,,,758,679,0.276,0.339,0.404,0.743,,
OAK,AL,1984,162,77,85,FALSE,,,738,796,0.259,0.327,0.404,0.731,,
PHI,NL,1984,162,81,81,FALSE,,,720,690,0.266,0.333,0.407,0.74,,
PIT,NL,1984,162,75,87,FALSE,,,615,567,0.255,0.31,0.363,0.673,,
SDP,NL,1984,162,92,70,TRUE,3,2,686,634,0.259,0.317,0.371,0.688,,
SEA,AL,1984,162,74,88,FALSE,,,682,774,0.258,0.324,0.384,0.708,,
SFG,NL,1984,162,66,96,FALSE,,,682,807,0.265,0.328,0.375,0.703,,
STL,NL,1984,162,84,78,FALSE,,,652,645,0.252,0.317,0.351,0.668,,
TEX,AL,1984,161,69,92,FALSE,,,656,714,0.261,0.313,0.377,0.69,,
TOR,AL,1984,163,89,74,FALSE,,,750,696,0.273,0.331,0.421,0.752,,
ATL,NL,1983,162,88,74,FALSE,,,746,640,0.272,0.341,0.4,0.741,,
BAL,AL,1983,162,98,64,TRUE,2,1,799,652,0.269,0.34,0.421,0.761,,
BOS,AL,1983,162,78,84,FALSE,,,724,775,0.27,0.335,0.409,0.744,,
CAL,AL,1983,162,70,92,FALSE,,,722,779,0.26,0.322,0.393,0.715,,
CHC,NL,1983,162,71,91,FALSE,,,701,719,0.261,0.319,0.401,0.72,,
CHW,AL,1983,162,99,63,TRUE,1,3,800,650,0.262,0.329,0.413,0.742,,
CIN,NL,1983,162,74,88,FALSE,,,623,710,0.239,0.314,0.356,0.67,,
CLE,AL,1983,162,70,92,FALSE,,,704,785,0.265,0.338,0.369,0.707,,
DET,AL,1983,162,92,70,FALSE,,,789,679,0.274,0.335,0.427,0.762,,
HOU,NL,1983,162,85,77,FALSE,,,643,646,0.257,0.32,0.375,0.695,,
KCR,AL,1983,163,79,84,FALSE,,,696,767,0.271,0.32,0.397,0.717,,
LAD,NL,1983,163,91,72,TRUE,3,3,654,609,0.25,0.318,0.379,0.697,,
MIL,AL,1983,162,87,75,FALSE,,,764,708,0.277,0.333,0.418,0.751,,
MIN,AL,1983,162,70,92,FALSE,,,709,822,0.261,0.319,0.401,0.72,,
MON,NL,1983,163,82,81,FALSE,,,677,646,0.264,0.326,0.386,0.712,,
NYM,NL,1983,162,68,94,FALSE,,,575,680,0.241,0.3,0.344,0.644,,
NYY,AL,1983,162,91,71,FALSE,,,770,703,0.273,0.337,0.416,0.753,,
OAK,AL,1983,162,74,88,FALSE,,,708,782,0.262,0.326,0.381,0.707,,
PHI,NL,1983,163,90,73,TRUE,4,2,696,635,0.249,0.329,0.373,0.702,,
PIT,NL,1983,162,84,78,FALSE,,,659,648,0.264,0.325,0.383,0.708,,
SDP,NL,1983,163,81,82,FALSE,,,653,653,0.25,0.311,0.351,0.662,,
SEA,AL,1983,162,60,102,FALSE,,,558,740,0.24,0.301,0.36,0.661,,
SFG,NL,1983,162,79,83,FALSE,,,687,697,0.247,0.325,0.375,0.7,,
STL,NL,1983,162,79,83,FALSE,,,679,710,0.27,0.335,0.384,0.719,,
TEX,AL,1983,163,77,86,FALSE,,,639,609,0.255,0.31,0.366,0.676,,
TOR,AL,1983,162,89,73,FALSE,,,795,726,0.277,0.338,0.436,0.774,,
ATL,NL,1982,162,89,73,TRUE,4,3,739,702,0.256,0.325,0.383,0.708,,
BAL,AL,1982,163,94,69,FALSE,,,774,687,0.266,0.341,0.419,0.76,,
BOS,AL,1982,162,89,73,FALSE,,,753,713,0.274,0.34,0.407,0.747,,
CAL,AL,1982,162,93,69,TRUE,2,3,814,670,0.274,0.347,0.433,0.78,,
CHC,NL,1982,162,73,89,FALSE,,,676,709,0.26,0.317,0.375,0.692,,
CHW,AL,1982,162,87,75,FALSE,,,786,710,0.273,0.337,0.413,0.75,,
CIN,NL,1982,162,61,101,FALSE,,,545,661,0.251,0.31,0.35,0.66,,
CLE,AL,1982,162,78,84,FALSE,,,683,748,0.262,0.341,0.373,0.714,,
DET,AL,1982,162,83,79,FALSE,,,729,685,0.266,0.324,0.418,0.742,,
HOU,NL,1982,162,77,85,FALSE,,,569,620,0.247,0.302,0.349,0.651,,
KCR,AL,1982,162,90,72,FALSE,,,784,717,0.285,0.337,0.428,0.765,,
LAD,NL,1982,162,88,74,FALSE,,,691,612,0.264,0.327,0.388,0.715,,
MIL,AL,1982,163,95,68,TRUE,1,2,891,717,0.279,0.335,0.455,0.79,,
MIN,AL,1982,162,60,102,FALSE,,,657,819,0.257,0.316,0.396,0.712,,
MON,NL,1982,162,86,76,FALSE,,,697,616,0.262,0.325,0.396,0.721,,
NYM,NL,1982,162,65,97,FALSE,,,609,723,0.247,0.305,0.35,0.655,,
NYY,AL,1982,162,79,83,FALSE,,,709,716,0.256,0.328,0.398,0.726,,
OAK,AL,1982,162,68,94,FALSE,,,691,819,0.236,0.309,0.367,0.676,,
PHI,NL,1982,162,89,73,FALSE,,,664,654,0.26,0.323,0.376,0.699,,
PIT,NL,1982,162,84,78,FALSE,,,724,696,0.273,0.327,0.408,0.735,,
SDP,NL,1982,162,81,81,FALSE,,,675,658,0.257,0.311,0.359,0.67,,
SEA,AL,1982,162,76,86,FALSE,,,651,712,0.254,0.311,0.381,0.692,,
SFG,NL,1982,162,87,75,FALSE,,,673,687,0.253,0.327,0.376,0.703,,
STL,NL,1982,162,92,70,TRUE,3,1,685,609,0.264,0.334,0.364,0.698,,
TEX,AL,1982,162,64,98,FALSE,,,590,749,0.249,0.308,0.359,0.667,,
TOR,AL,1982,162,78,84,FALSE,,,651,701,0.262,0.314,0.383,0.697,,
ATL,NL,1980,161,81,80,FALSE,,,630,660,0.25,0.307,0.38,0.687,,
BAL,AL,1980,162,100,62,FALSE,,,805,640,0.273,0.342,0.413,0.755,,
BOS,AL,1980,160,83,77,FALSE,,,757,767,0.283,0.34,0.436,0.776,,
CAL,AL,1980,160,65,95,FALSE,,,698,797,0.265,0.332,0.378,0.71,,
CHC,NL,1980,162,64,98,FALSE,,,614,728,0.251,0.309,0.365,0.674,,
CHW,AL,1980,162,70,92,FALSE,,,587,722,0.259,0.311,0.37,0.681,,
CIN,NL,1980,163,89,74,FALSE,,,707,670,0.262,0.327,0.386,0.713,,
CLE,AL,1980,160,79,81,FALSE,,,738,807,0.277,0.35,0.381,0.731,,
DET,AL,1980,163,84,79,FALSE,,,830,757,0.273,0.348,0.409,0.757,,
HOU,NL,1980,163,93,70,TRUE,3,3,637,589,0.261,0.326,0.367,0.693,,
KCR,AL,1980,162,97,65,TRUE,2,2,809,694,0.286,0.345,0.413,0.758,,
LAD,NL,1980,163,92,71,FALSE,,,663,591,0.263,0.323,0.388,0.711,,
MIL,AL,1980,162,86,76,FALSE,,,811,682,0.275,0.329,0.448,0.777,,
MIN,AL,1980,161,77,84,FALSE,,,670,724,0.265,0.319,0.381,0.7,,
MON,NL,1980,162,90,72,FALSE,,,694,629,0.257,0.324,0.388,0.712,,
NYM,NL,1980,162,67,95,FALSE,,,611,702,0.257,0.319,0.345,0.664,,
NYY,AL,1980,162,103,59,TRUE,1,3,820,662,0.267,0.343,0.425,0.768,,
OAK,AL,1980,162,83,79,FALSE,,,686,642,0.259,0.322,0.385,0.707,,
PHI,NL,1980,162,91,71,TRUE,4,1,728,639,0.27,0.327,0.4,0.727,,
PIT,NL,1980,162,83,79,FALSE,,,666,646,0.266,0.322,0.388,0.71,,
SDP,NL,1980,163,73,90,FALSE,,,591,654,0.255,0.324,0.342,0.666,,
SEA,AL,1980,163,59,104,FALSE,,,610,793,0.248,0.308,0.356,0.664,,
SFG,NL,1980,161,75,86,FALSE,,,573,634,0.244,0.308,0.342,0.65,,
STL,NL,1980,162,74,88,FALSE,,,738,710,0.275,0.328,0.4,0.728,,
TEX,AL,1980,163,76,87,FALSE,,,756,752,0.284,0.339,0.405,0.744,,
TOR,AL,1980,162,67,95,FALSE,,,624,762,0.251,0.309,0.383,0.692,,
ATL,NL,1979,160,66,94,FALSE,,,669,763,0.256,0.318,0.377,0.695,,
BAL,AL,1979,159,102,57,TRUE,1,2,757,582,0.261,0.336,0.419,0.755,,
BOS,AL,1979,160,91,69,FALSE,,,841,711,0.283,0.344,0.456,0.8,,
CAL,AL,1979,162,88,74,TRUE,4,3,866,768,0.282,0.351,0.429,0.78,,
CHC,NL,1979,162,80,82,FALSE,,,706,707,0.269,0.329,0.403,0.732,,
CHW,AL,1979,160,73,87,FALSE,,,730,748,0.275,0.333,0.41,0.743,,
CIN,NL,1979,161,90,71,TRUE,3,3,731,644,0.264,0.338,0.396,0.734,,
CLE,AL,1979,161,81,80,FALSE,,,760,805,0.258,0.34,0.384,0.724,,
DET,AL,1979,161,84,77,FALSE,,,770,738,0.269,0.339,0.415,0.754,,
HOU,NL,1979,162,89,73,FALSE,,,583,582,0.256,0.315,0.344,0.659,,
KCR,AL,1979,162,85,77,FALSE,,,851,816,0.282,0.343,0.422,0.765,,
LAD,NL,1979,162,79,83,FALSE,,,739,717,0.263,0.331,0.412,0.743,,
MIL,AL,1979,161,95,66,FALSE,,,807,722,0.28,0.345,0.448,0.793,,
MIN,AL,1979,162,82,80,FALSE,,,764,725,0.278,0.341,0.402,0.743,,
MON,NL,1979,160,95,65,FALSE,,,701,581,0.264,0.319,0.408,0.727,,
NYM,NL,1979,163,63,100,FALSE,,,593,706,0.25,0.313,0.35,0.663,,
NYY,AL,1979,160,89,71,FALSE,,,734,672,0.266,0.328,0.406,0.734,,
OAK,AL,1979,162,54,108,FALSE,,,573,860,0.239,0.302,0.346,0.648,,
